DATE,KOSPI,KOSDAQ
2024-07-04,2824.93994140625,840.8099975585938
2024-07-05,2862.22998046875,847.489990234375
2024-07-08,2857.760009765625,859.27001953125
2024-07-09,2867.3798828125,860.4199829101562
2024-07-10,2867.989990234375,858.5499877929688
2024-07-11,2891.35009765625,852.4199829101562
2024-07-12,2857.0,850.3699951171875
2024-07-15,2860.919921875,852.8800048828125
2024-07-16,2866.090087890625,839.6099853515625
2024-07-17,2843.2900390625,829.4099731445312
2024-07-18,2824.35009765625,822.47998046875
2024-07-19,2795.4599609375,828.719970703125
2024-07-22,2763.510009765625,809.9600219726562
2024-07-23,2774.2900390625,812.1199951171875
2024-07-24,2758.7099609375,814.25
2024-07-25,2710.64990234375,797.2899780273438
2024-07-26,2731.89990234375,797.5599975585938
2024-07-29,2765.530029296875,807.989990234375
